international_id,medical_id,first_name,last_name,gender,age,birth_city,nationality
3731,c408fbd0-cac8-4950-92e8-ea7c73fa1361,Preston,Mick,male,23.0,Trondheim,norway
1628,66522ba9-e5a0-4f3c-821f-41ed0d65d3ca,Wilbur,Moore,male,20.0,Marseille,U.S.A
7448,e417f30c-187d-4ef9-8c41-ee3bf255baea,Jeffrey,Kindrick,male,25.0,Boston,usa
3922,feb6dc99-908d-44c7-be73-397404be5bf1,Vanessa,Hawkins,other,31.0,Liberec,czechia
9394,5336e053-fdd3-4312-b475-d11c6bb783d8,Crystal,Green,female,22.0,Moscow,russia
6994,c21546d2-aad8-4674-9034-0475ef379da7,Annie,Mitchell,female,19.0,Oulu,finLaND
7927,4f6945aa-9b6d-40f7-9d5c-859c1abcdfba,Nickolas,Bass,male,18.0,Omsk,usa
3182,4c33cf2b-bc5f-4b5a-81b5-94f9d5e51d73,Zachary,Burcham,male,25.0,Linkoping,canada
901,dea84fed-2165-4554-97ed-51281c05eea3,Irene,Prince,f,21.0,Gothenburg,sweden
1228,058a2170-5b2c-4c64-befc-4360be8b7c03,Joseph,Carter,female,29.0,Linkoping,sweden
7496,66f101a5-f9be-4263-8a58-e07214aac0bc,Paula,Howard,female,18.0,Ljubljana,slovenia
1528,e9caf933-394f-49b4-910d-1471f1a3f130,David,Adair,male,29.0,Pittsburgh,U.S.A
8325,a4c33159-8175-4c7b-8873-c1866e632307,Amanda,Alonzo,female,26.0,Kosice,slovakia
4003,c67d8c57-b319-45b3-ac57-48f2f157e365,Ivory,Brown,male,29.0,Sochi,USA
9982,b3b518cf-a47d-4e9d-bb36-b58959bb0192,Rodney,Fitzgerald,male,25.0,New York,Usa
3447,ce311705-f215-4f2f-b8b6-a871c7caf6b6,Richard,Roth,male,23.0,Vancouver,canada
791,461a46ba-30e9-43ed-a2ed-f9faa9826487,Twanna,Harrington,female,22.0,Prague,caNADA
7449,f4e128d3-282b-4b97-a965-a8941c73253e,Ralph,Zurcher,male,25.0,Linkoping,sweden
5878,49369937-34b2-40f0-978a-3e8687093475,Billie,Smith,female,24.0,Trondheim,usa
848,916ba1b6-11bc-4f19-a8a2-f845d95ec0f2,Wendy,Smith,female,25.0,Toronto,canada
41,eda02739-f5f0-42ba-ada3-78afd734be0a,Robert,Chambers,male,30.0,Naples,russia
8705,94111b3a-1a5d-4c05-b87b-dc7a959518ee,Ollie,Snyder,female,26.0,Malmo,sweden
5114,1b1139d4-c204-48cb-b536-84562bbe1aa7,Felix,Welch,male,21.0,Prague,czechia
7511,2934e9b2-8dd1-4795-a4cd-ccd24eb9d626,Darryl,Seale,m,19.0,Plzen,czechia
7097,d3b18556-0eeb-464a-bc26-06a1252707bb,Charlotte,Brown,f,23.0,Boston,usa
5784,49700a52-5685-4685-b70e-9a64456b1cf8,Beverly,Jiles,female,22.0,Chicago,USA
5003,179633f3-8552-450e-980a-1d58d9c884a9,Joseph,Jones,m,34.0,Boston,usa
3310,c33f51ba-ff0a-44e4-bb85-fd4329a5b884,Cynthia,Williams,female,23.0,MOSCOW,russia
2188,01035d81-fc20-4c53-bdfd-a450fd069344,William,Clodfelter,male,29.0,Pittsburgh,usa
3735,0604e263-b174-4b8c-8474-db3c43771cba,James,Greer,male,21.0,Helsinki,canada
5582,3294d482-2044-47a4-831b-7f8e649b938a,Brenda,Whitman,f,23.0,Boston,canada
1780,b86dfa67-99e1-4d51-9369-69e5cf747859,James,Nakano,male,23.0,Omsk,finland
1198,a0a2aa7b-c6ef-47e8-9a1f-1f3fed11db05,James,Rogers,other,26.0,Copenhagen,Norway
6220,11bb31d1-b648-4594-b277-ca4d77e913d0,Robert,Mora,m,23.0,Celje,slovenia
3266,fdb800c9-b58e-4d1d-a332-28562f8b0882,Dustin,Genna,male,260.0,Trondheim,usa
2707,6fc71411-1e06-4757-b2f7-3d36415264c2,Wendy,Hochmuth,female,30.0,Los Angeles,usa
3319,b6da4b74-14b9-4575-9dd2-15b2931890ef,Tangela,Grant,f,26.0,Boston,usa
4096,a0da0257-3ca6-42bb-b800-0203de942192,Esmeralda,Santoyo,f,26.0,New York,usa
3373,a2d97e7e-2bc7-4032-a5c2-a51f92782597,Stephanie,Elsberry,other,21.0,Trondheim,ruSSIA
625,281b5065-6b71-4743-933d-817d040afd9e,Martha,Jewell,f,31.0,Bratislava,slovakia
7756,0f640775-d773-40c7-9eb6-bff0bfee9859,Aaron,Todd,male,23.0,Riga,LATVIA
330,e11921c5-b432-493c-9383-c488469dd21c,Jennifer,Herod,female,22.0,Vienna,finland
2292,c9106d31-bb26-4634-86ff-41ddd6fcf56a,Bernice,Steele,f,22.0,Bergen,russia
2755,44e4a16c-004e-4f96-9a8f-1cb1a3df1c15,Mickey,Gardin,male,35.0,PITTSBURGH,usa
863,d8f82b39-2eb6-46e9-b4ad-ec13d2156b25,Callie,Manning,female,38.0,CHICAGO,usa
9874,5d3c8e3b-0d8f-4119-9b62-680576a62dc5,Jonathan,Travis,other,21.0,moscow city,germany
7082,a188b375-41fa-45fa-b537-ae440dd694a9,Richard,Vasquez,male,24.0,New York,usa
